proposal_id,verbatim,instrument_title,gid,provision_scope,basis,confidence,markup,text,enabling,act_level_rows,distinct_source_instruments,made_under_edges,gate_devolution,gate_international,gate_northern_ireland,gate_absorption,overlaps,unresolved,reasoning
SP-01,the campaign for the great repeal and restoration of the legislation passed under the Blair and Brown governments from 1997 to 2010,,,,,,,,,,,,,,,,,yes,"The scope is stated as a DATE RANGE, not an instrument: ""the legislation passed under the Blair and Brown governments from 1997 to 2010"". There is no single instrument to name, and naming one would misrepresent the proposal as narrower than it is. It is countable rather than resolvable — see scope_measurement on this row, which is the answer to CCW's note_for_resolution."
SP-02,"we need to repeal an awful lot of law that has empowered and indeed politicised the judiciary, like the Human Rights Act, the Equalities Act",Human Rights Act 1998,ukpga/1998/42,,named by the proposer,high,37,901,75,,382,85,yes,yes,yes,yes,SP-05,no,"The Act is named in the passage itself, so this is not my identification. It is the instrument that gives the Convention rights effect in domestic law, and repealing it is the domestic half of what SP-05 describes. ⚠ He should be asked whether the list is his and whether it is complete, because he did not compose it."
SP-02,"we need to repeal an awful lot of law that has empowered and indeed politicised the judiciary, like the Human Rights Act, the Equalities Act",Equality Act 2010,ukpga/2010/15,,named by the proposer,medium,79,1789,148,,535,206,yes,unknown,no,yes,SP-10,no,"Named in the passage. The Act consolidates the discrimination statutes and carries the s.149 public sector equality duty that SP-10 objects to separately. ⚠ The proposal is stated as repeal of law that ""politicised the judiciary""; most of the Equality Act is not about the judiciary, so the stated rationale and the named instrument do not obviously match. That mismatch is his to resolve, not mine."
SP-03,"we need to abandon, kill off, privatise or renationalise fully into the structures of government and Parliament, all of these quangos",Public Bodies Act 2011,ukpga/2011/24,,my identification,low,16,146,51,,64,60,yes,unknown,yes,unknown,,no,"⚠⚠ He names NO instrument, and offers FOUR different dispositions in one sentence — abandon, kill off, privatise, renationalise into government. Those are four different instruments with four different consequences, not one proposal. The Public Bodies Act 2011 is the existing mechanism for abolishing or merging arm's-length bodies by order, and it reaches only a SUBSET: bodies listed in its Schedules. It is the nearest existing route for ""abandon"" and ""kill off"" and does nothing for ""privatise"" or ""renationalise"". Offered as the starting point, not as the answer. He should be asked which disposition applies to which bodies."
SP-04,We formally express the supremacy of the judiciary in Britain by the extraordinary creation of a Supreme Court. How you can have a Supreme Court alongside a sovereign parliament is deranged.,Constitutional Reform Act 2005,ukpga/2005/4,part-3,my identification,medium,4,85,15,427,64,236,yes,unknown,yes,unknown,,no,"He names the institution (""a Supreme Court""), never the statute. CRA 2005 Part 3 creates the Court and transfers the appellate jurisdiction of the House of Lords to it; reversing the creation means Part 3. ⚠ He states the contradiction — a supreme court alongside a sovereign parliament — without stating the remedy, so whether he wants the court abolished or merely restrained is unresolved in his own words. This row assumes abolition because that is what ""reversal of its creation"" means; if he means restraint, the instrument is different."
SP-04,We formally express the supremacy of the judiciary in Britain by the extraordinary creation of a Supreme Court. How you can have a Supreme Court alongside a sovereign parliament is deranged.,Scotland Act 1998,ukpga/1998/46,,my identification,medium,123,3556,1073,,1475,1334,yes,unknown,yes,unknown,,no,"Consequential, and easy to miss: the Supreme Court holds the devolution reference jurisdiction under Scotland Act 1998 Sch 6. Abolishing the Court does not abolish that jurisdiction — it has to be relocated, or the devolution settlement loses its adjudicator. MY identification; he has never mentioned it."
SP-04,We formally express the supremacy of the judiciary in Britain by the extraordinary creation of a Supreme Court. How you can have a Supreme Court alongside a sovereign parliament is deranged.,Northern Ireland Act 1998,ukpga/1998/47,,my identification,medium,44,1430,204,,584,261,yes,unknown,no,unknown,,no,The same point as the Scotland Act row: the equivalent devolution jurisdiction sits in Northern Ireland Act 1998 Sch 10. MY identification.
SP-05,this much much clearer language about the need to repeal the European Convention and the realization of both the legal and the symbolic importance of the convention,Human Rights Act 1998,ukpga/1998/42,,my identification,high,37,901,75,,382,85,yes,yes,yes,yes,SP-02,no,"⚠⚠ THE STATED ROUTE IS NOT AVAILABLE AS DESCRIBED. He says ""repeal the European Convention"". A treaty is not repealed by an Act; it is DENOUNCED, under ECHR Article 58, which takes effect six months after notice and is a prerogative act rather than a legislative one. Denunciation also does not by itself alter domestic law — the Convention rights would remain enforceable through the Human Rights Act until that Act is changed. So the proposal as spoken splits into two distinct actions: denunciation (prerogative, no Bill) and HRA repeal (primary legislation). This row is the domestic half and is MY identification, because he named the treaty, not the Act. ⚠ He should be asked which he intends: denunciation, HRA repeal, or both. They are separable and have different effects."
SP-06,"Same as saying we should leave the ECHR, I suspect people only hear abandoning human rights",,,,,,,,,,,,,,,,,yes,"Carries no independent target. It restates the ECHR position of SP-05 as an agreed premise while discussing how it is HEARD — a communications question, not a statement of legislative intent. Resolving it separately would double-count one proposal. Cross-referenced to SP-05 rather than given its own instrument."
SP-07,"we sort of fix parliamentary sovereignty, we get all the powers back there, and we entrust to the 650 men and women who represent us",,,,,,,,,,,,,,,,,yes,"The AIM, not a measure. ""Fix parliamentary sovereignty, get all the powers back"" is the objective every other row is instrumental to. It has no instrument of its own, and his own reply redirects to de-bureaucratisation as a social question rather than a legal one. ⚠ The open question for him — whether sovereignty is restored by repeal alone or needs positive assertion in statute — is a drafting decision nobody has taken, not a gap in this resolution."
